FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
15.073244824,0.029198229,0.020644097,0.038111020
15.124437444,0.029275917,0.020644097,0.038128249
15.175630063,0.029354315,0.020798668,0.038321167
15.226822682,0.029423306,0.020997375,0.038927335
15.278015302,0.029475944,0.021026073,0.038927335
15.329207921,0.029543906,0.021168502,0.038927335
15.380400540,0.029592801,0.021327015,0.039049234
15.431593159,0.029622192,0.021327015,0.039076377
15.482785779,0.029659228,0.021367522,0.039096437
15.533978398,0.029688554,0.021435229,0.039096437
15.585171017,0.029724907,0.021469859,0.039119806
15.636363636,0.029763944,0.021469859,0.039119806
15.687556256,0.029827969,0.021531101,0.039119806
15.738748875,0.029872471,0.021531101,0.039119806
